"number","ampr_nb","tumbon_nb","ampr_main_nb","tumbon_main_nb"
1,"21","07","04","02"
2880,"21","07","18","02"
4,"21","07","20","04"
3,"21","07","23","02"
19,"21","07","24","02"
1,"21","07","40","03"
1,"21","07","42","03"
6,"22","08","32","01"
4,"22","01","04","02"
3,"22","01","15","04"
1028,"22","01","18","02"
2,"22","01","20","04"
3,"22","01","23","02"
1,"22","01","31","01"
1,"22","01","47","01"
2,"22","08","04","02"
1,"22","08","07","02"
1,"22","08","15","04"
2,"22","08","24","02"
1,"22","08","31","01"
3,"22","08","40","03"
5,"22","01","08","02"
6,"22","01","07","03"
2,"22","01","16","01"
1,"22","01","17","02"
2,"22","01","22","01"
7,"22","01","35","03"
27,"22","01","40","03"
1,"22","01","42","03"
12,"22","08","08","02"
493,"22","08","18","02"
22,"22","08","20","04"
1,"23","02","10","01"
3,"23","02","17","02"
22,"23","02","31","01"
3,"23","02","35","03"
2206,"23","02","40","03"
2,"23","02","42","03"
453,"23","02","18","02"
22,"23","02","08","02"
5,"23","02","15","04"
11,"23","02","20","04"
2997,"23","02","23","02"
2,"23","02","07","02"
3,"23","02","24","02"
154,"24","02","18","02"
2,"24","01","37","02"
31,"24","02","24","02"
241,"24","02","31","01"
6,"24","02","35","03"
3,"24","02","49","02"
2,"24","01","37","01"
651,"24","01","18","02"
84,"24","01","24","02"
490,"24","01","31","01"
2,"24","02","04","02"
3,"24","02","08","02"
2,"25","02","37","02"
2,"25","02","07","03"
2,"25","02","08","02"
9,"25","02","20","04"
1,"25","02","30","01"
8,"26","01","18","02"
1,"26","01","07","03"
2,"26","01","14","01"
5,"26","01","33","03"
2,"26","01","34","01"
47,"26","01","37","01"
2,"26","01","17","04"
1,"26","01","20","04"
422,"26","01","32","01"
1,"26","01","37","02"
2,"26","01","41","01"
15,"26","01","07","02"
3,"27","01","18","02"
1,"27","01","02","02"
25,"27","01","02","06"
1,"27","01","07","02"
9,"27","01","08","02"
4,"27","01","11","01"
13,"27","01","17","02"
1,"27","01","23","02"
1116,"27","01","32","01"
13,"27","01","34","01"
2,"27","01","35","03"
12,"27","01","37","01"
6,"27","01","40","03"
33,"27","01","46","03"
4,"27","01","03","01"
5,"27","01","04","02"
6,"27","01","06","08"
18,"27","01","10","01"
1,"27","01","14","01"
35,"27","01","27","01"
26,"27","01","30","01"
1,"27","01","36","02"
4,"27","01","37","02"
2,"27","01","38","01"
3,"27","01","39","03"
14,"27","01","41","01"
4,"27","01","42","03"
2858,"27","01","43","01"
6,"27","01","44","01"
1,"28","01","40","03"
6,"28","01","18","02"
1,"28","01","07","02"
7,"28","01","08","02"
1,"28","01","24","02"
286,"28","01","31","01"
1,"28","01","34","01"
2,"28","01","37","02"
3,"29","01","42","03"
1,"29","01","05","02"
2,"29","01","07","03"
2,"29","01","18","02"
2,"29","01","25","02"
2,"29","01","30","01"
1,"29","01","31","01"
6,"29","01","33","03"
1,"29","01","35","03"
5,"29","01","37","01"
1,"29","01","08","05"
1,"29","01","14","01"
2,"29","01","29","01"
13,"29","01","02","02"
1,"29","01","37","02"
3,"29","01","40","03"
176,"29","01","41","01"
315,"29","01","08","02"
155,"30","04","37","01"
6,"30","01","05","02"
3,"30","01","08","02"
7,"30","01","14","01"
3,"30","01","17","02"
1,"30","01","20","04"
1,"30","01","30","01"
65,"30","01","41","01"
160,"30","01","42","03"
3,"30","01","43","01"
2,"30","04","17","02"
1,"30","04","30","05"
2,"30","01","07","02"
2,"30","01","11","01"
6,"30","01","37","01"
425,"30","01","37","02"
1,"30","01","40","03"
1,"30","01","40","04"
3,"30","03","41","01"
